Unité	F	f_Gilblas	score_Gilblas	f_LettresPersanes	score_LettresPersanes	f_Cleveland	score_Cleveland	f_ManonLescaut	score_ManonLescaut	f_Sethos	score_Sethos	f_Marquise	score_Marquise	f_Cabinet	score_Cabinet	f_Marianne	score_Marianne	f_Paysanne	score_Paysanne	f_Egarements	score_Egarements	f_MMeLuz	score_MMeLuz	f_Grecque	score_Grecque	f_Confessions	score_Confessions	f_Candide	score_Candide
ne	36385	4701	-22.0164	1608	-0.3391	9066	-11.4376	1095	-5.4709	2793	-121.4533	1788	81.5212	1177	18.7899	3669	56.6308	4288	0.4891	2148	66.4884	703	4.4526	1830	3.4807	1012	6.5487	507	-13.512
me	34907	5781	22.3441	624	-164.0572	9788	10.7438	1563	24.8489	467	-1000.0	1537	43.4059	574	-26.3338	3107	14.3177	6062	214.0807	1816	26.9797	127	-116.8001	2137	35.8396	1100	19.5869	224	-89.2227
un	33687	5980	54.5355	1832	17.9361	8782	-1.3653	1266	3.3057	3769	-0.7523	785	-15.5095	783	-1.4603	2326	-9.3123	3485	-15.092	1071	-15.935	451	-6.0749	1543	-0.5658	850	1.4263	764	6.0601
avoir	33063	5609	30.5345	1815	19.285	6281	-226.5549	1502	26.3212	2098	-213.1957	1180	7.329	1079	18.3277	3879	141.4098	2858	-73.5196	1741	28.1684	684	8.0452	2596	142.9425	1017	15.4877	724	4.0347
ce	30174	4296	-1.865	1234	-2.7743	7258	-21.8604	845	-9.569	3259	-2.9173	829	-3.0822	1086	31.9241	3203	69.3477	4279	38.6807	1252	0.8802	339	-14.402	1218	-7.003	566	-8.7773	510	-2.5311
vous	23452	3324	-1.8795	656	-38.5679	3489	-1000.0	506	-30.1231	1298	-209.9998	3050	1000.0	969	50.3493	3588	1000.0	3405	38.4375	1645	100.3554	355	-1.408	482	-99.3743	356	-19.8586	329	-8.684
;	22513	3399	1.3971	1350	27.2282	3034	-1000.0	454	-36.0753	2086	-23.9045	852	9.4668	872	35.6064	3478	1000.0	4336	236.236	426	-73.0887	432	2.8132	373	-132.6824	726	15.1711	695	32.7347
en	21961	3534	8.5959	777	-10.911	5082	-29.7998	698	-1.6919	2474	-0.4528	648	-0.7179	664	6.6578	1997	12.3452	3049	22.3633	981	3.326	378	0.6079	783	-15.1092	524	0.3371	372	-1.9624
du	21909	2980	-5.6454	1355	32.6382	5425	-8.5466	666	-3.1819	4647	1000.0	484	-13.9783	445	-5.2175	899	-109.2495	2022	-31.9243	584	-27.1965	384	0.83	972	-1.1815	459	-2.5297	587	15.0444
qui	21818	2849	-11.6402	1177	11.0214	5901	1.539	550	-14.277	2799	11.2749	406	-27.9332	684	9.0782	2234	38.6205	2320	-6.5791	761	-4.6887	297	-3.7171	1022	0.3843	467	-1.9557	351	-3.2449
mon	21755	3421	5.0931	454	-77.8844	7514	152.403	1040	24.9498	506	-1000.0	736	2.5619	255	-42.9395	1700	0.3769	3353	59.9878	576	-27.7471	157	-33.8303	1264	14.7134	592	3.2994	187	-36.1547
son	20720	2785	-6.8365	665	-18.9346	6644	71.5662	644	-2.2815	2832	24.3781	297	-51.236	336	-16.8495	1063	-51.3654	2195	-6.7024	518	-32.6811	523	19.2485	1449	50.5605	491	-0.3056	278	-9.6502
elle	18718	1582	-147.965	526	-30.4491	5760	39.095	686	1.4006	943	-201.357	332	-27.9012	523	2.4998	2186	78.063	1910	-10.5068	1594	166.33	448	13.1141	1270	38.5865	830	61.6935	128	-44.4059
se	17421	2353	-5.3586	738	-0.9747	5292	30.3443	467	-8.0367	2237	9.3142	309	-26.0274	399	-1.2453	1058	-17.8502	2041	0.3094	646	-1.7673	402	9.8975	909	3.6146	282	-11.687	288	-2.1395
pour	17064	2514	0.3647	542	-16.6052	5121	24.6869	665	3.3076	1929	-0.3632	631	5.9754	318	-7.4193	1031	-18.1341	1856	-3.4899	676	-0.4528	274	-0.5238	937	6.7248	392	-0.5797	178	-18.8489
faire	15778	2708	17.5234	764	2.1603	4122	-0.8023	542	0.3121	1548	-9.6129	428	-2.2268	321	-3.9145	868	-28.8632	2064	7.2179	578	-1.9789	219	-2.4905	929	12.2442	414	1.6602	273	-1.2466
dans	15368	2126	-2.8678	846	9.6762	4333	6.0957	463	-2.688	2484	71.2058	331	-11.3653	272	-8.8025	783	-39.3909	1560	-9.3593	426	-16.4231	208	-2.9326	864	7.8441	355	-0.5069	317	1.102
lui	15155	2204	-0.5003	466	-17.3111	4147	2.1583	602	3.7825	2155	26.7911	168	-57.0024	332	-1.9555	1150	-0.7042	1484	-13.6006	550	-2.1851	368	11.6828	961	20.5968	337	-0.9382	231	-3.6469
pas	13318	2019	1.2093	568	-0.7479	2586	-81.1577	407	-2.063	854	-83.5586	780	62.8559	474	13.6855	1364	23.9847	1777	8.3926	1008	77.655	295	6.0181	616	-0.3432	356	1.8677	214	-2.253
tout	12717	1711	-4.4278	705	8.6731	3359	-0.3592	348	-5.3052	1867	29.8083	422	1.3494	315	-0.2891	1006	0.5385	1179	-18.3095	441	-3.214	190	-1.135	566	-0.8378	313	0.5741	295	3.3353
plus	11607	1327	-24.1946	564	1.8477	3095	0.4838	359	-1.6326	1383	1.5467	498	12.887	250	-1.9214	980	2.3891	1033	-22.1674	723	28.9543	292	10.9953	554	0.5652	373	8.0687	176	-3.0495
nous	10406	2359	103.6758	523	2.693	3487	56.3928	497	12.3515	480	-130.0601	241	-5.5415	367	10.3428	706	-4.2105	855	-30.8659	333	-5.2575	38	-35.1317	156	-69.657	181	-5.3207	183	-0.8329
